瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 浅加(m/s),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 惑措嚼档(%),老 弥缴利汲(cm),乞闭 瘤搁柯档(∑C)
156,堡林,2019-01-21,2.1,-2.1,8,,3.4,1.3,-5.1,59.5,,1.7
156,堡林,2019-01-22,3.4,-2.2,10,,4.2,1.1,-3.5,64.4,,1.6
156,堡林,2019-01-23,4.4,.6,10,,3.2,1.1,-2.7,62.1,,2.4
156,堡林,2019-01-24,2.8,-1.7,9.9,,3.1,1.2,-12.7,36.5,,1.6
156,堡林,2019-01-25,.9,-1.9,5.8,,3.7,1.6,-7.2,55.1,,.4
156,堡林,2019-01-26,-.5,-3.1,3.8,,5,1.9,-11.1,46.4,,.7
156,堡林,2019-01-27,.9,-5.3,7.7,,2.5,1,-6.4,61,,.5
156,堡林,2019-01-28,3.4,-.1,8.5,0,3.7,1.6,-5.2,56.6,,3
156,堡林,2019-01-29,2.1,-3.3,9.7,,5.4,1.4,-10.5,42.3,,1.7
156,堡林,2019-01-30,4.1,-.5,10.5,0,4.7,1,-7.3,46,,3.7
156,堡林,2019-01-31,.4,-1.7,4.6,10.3,4.4,1.8,-2.5,81.9,3.8,.3
156,堡林,2019-02-01,-.2,-3.9,4.8,0,3.9,1.3,-5.6,67.9,3.4,.9
156,堡林,2019-02-02,3.8,-2.9,9.6,0,2.7,1,-1.2,71.8,,3.1
156,堡林,2019-02-03,7.3,5.4,11.1,17.3,4.4,1.8,6.9,97.5,,5.8
156,堡林,2019-02-04,4,0,8.3,,5.6,2.6,-10,37.5,,2.8
156,堡林,2019-02-05,5.4,-1.4,12.6,,2.4,.8,-6.1,45.5,,3.9
156,堡林,2019-02-06,7.3,1.6,13.6,,3.8,1.3,.2,61.9,,3.9
156,堡林,2019-02-07,2.5,-3.6,6.6,0,4.1,1.9,-5.3,59.1,,2.8
156,堡林,2019-02-08,-.9,-4.4,4.7,,4.8,2.2,-14.9,35,,1.3
156,堡林,2019-02-09,-1.1,-2.7,2,,4.8,2.1,-11,47.4,,1.2
156,堡林,2019-02-10,-1.2,-4.9,3.8,,4.9,2,-15,35.5,,1
156,堡林,2019-02-11,-.1,-2.1,3.9,,4,2.2,-9,51.4,,1.9
156,堡林,2019-02-12,1.5,-4.3,8.1,,4.1,1.5,-6.8,55.5,,2.1
156,堡林,2019-02-13,1.9,-1.9,6.8,,6.5,2.6,-9,45.6,,2.4
156,堡林,2019-02-14,2.3,-1.5,9.2,,3.6,1.6,-12.1,36.1,,3.6
156,堡林,2019-02-15,2.5,-.2,6.3,,3,.9,-5.4,56.8,,3.7
156,堡林,2019-02-16,.3,-1.6,2.9,0,4.7,2,-6.7,59.8,,3.3
156,堡林,2019-02-17,1.1,-2.8,6.7,,4,1.7,-9.4,48.4,,2.7
156,堡林,2019-02-18,2.6,-1.6,6.3,.6,3.8,1.1,-7.5,50.6,,1.6
156,堡林,2019-02-19,3.9,.9,7,18.5,2.9,1.2,3.2,95.6,,3.9
156,堡林,2019-02-20,3.4,.5,8.2,,4.3,1.5,-1.3,73,,3.9
156,堡林,2019-02-21,4.2,-1.2,10.9,,3.8,1.6,-2.9,62.8,,3.7
156,堡林,2019-02-22,5.4,.9,11.4,,2.6,.9,-2.1,60.6,,3.2
156,堡林,2019-02-23,7.2,.2,15.6,,3.5,1.1,-2,55.8,,5.1
156,堡林,2019-02-24,8,1.7,15.4,,2.9,1,.2,61,,6.1
156,堡林,2019-02-25,6.6,1.5,13.9,,3.1,1.2,-2.8,56.8,,6.4
156,堡林,2019-02-26,6.8,0,13.8,,3.9,1.3,-6.4,44,,6.3
156,堡林,2019-02-27,8,4.6,13.3,.6,3,1.1,3.2,73.6,,7.2
156,堡林,2019-02-28,8.1,4.1,14.4,0,4,1.6,-.5,58.9,,9.1
156,堡林,2019-03-01,6.7,1,14.3,,4.2,1.2,-2.8,56.3,,6.7
156,堡林,2019-03-02,9.6,2.1,17.1,,3.9,1.4,-.1,52,,9
156,堡林,2019-03-03,11.2,7.9,14.4,0,3,.9,2.2,54.9,,10.2
156,堡林,2019-03-04,9.3,6.1,15,,3.2,1.5,.4,55.4,,10.9
156,堡林,2019-03-05,9,2.6,14.2,,2.8,.9,1,60.6,,8.6
156,堡林,2019-03-06,10,5.7,15.7,0,3.5,1.1,2.4,61.8,,11.4
156,堡林,2019-03-07,6.5,3.2,12.2,,3.3,1.4,1.2,71.5,,8.8
156,堡林,2019-03-08,7,-.1,16.6,,4.4,1.2,-3.1,58.1,,9.4
156,堡林,2019-03-09,9.2,.9,17.2,0,4.1,1.3,.7,58.4,,9.4
156,堡林,2019-03-10,8.3,5.4,11.2,9.9,7.6,3.4,7.1,92.9,,7.9
156,堡林,2019-03-11,6.1,2.4,10.9,.9,7.4,1.6,4.6,91.3,,5.5
156,堡林,2019-03-12,5.9,1.5,12.4,.1,7.1,2.1,1.7,75.5,,7.1
156,堡林,2019-03-13,5,.5,10,,4.7,1.7,-8.3,41.3,,4.8
156,堡林,2019-03-14,6.9,0,14.1,,4.3,1.4,-3.9,50,,7.9
156,堡林,2019-03-15,7.5,3.9,13.3,.9,7.4,3.1,2.1,70.3,,8.1
156,堡林,2019-03-16,7.3,3.8,13.9,0,5.6,1.9,-.1,61.5,,10.7
156,堡林,2019-03-17,8.1,3.1,14.3,,3.6,1.2,-3.4,49.4,,11.3
156,堡林,2019-03-18,8.7,1.5,14.9,,3.6,1.3,-2.8,46.1,,9.1
156,堡林,2019-03-19,11.1,3.4,19.4,,2.6,.8,3.5,61.6,,12.9
156,堡林,2019-03-20,12.5,7.7,16.7,20.6,7.7,2.3,8.7,80.4,,9.7
156,堡林,2019-03-21,8.1,4.1,15.4,0,7.8,2.6,5.9,86.9,,8.9
156,堡林,2019-03-22,5.1,2.6,10.3,,4.5,2.1,-3.4,55.8,,7.5
156,堡林,2019-03-23,4.8,1.2,11.1,.1,7.5,2.2,-4.8,51,,4.5
156,堡林,2019-03-24,5.3,-.6,12.5,,4,1.4,-5,49.1,,8.5
156,堡林,2019-03-25,7.4,1.3,14.4,,4.5,1.5,.8,64.4,,9
156,堡林,2019-03-26,12.1,5,20.6,,4,1.3,2.6,59,,13.2
156,堡林,2019-03-27,14,7.7,19.6,,9.1,3.6,6,62.1,,15.7
156,堡林,2019-03-28,12.9,8.7,20.7,,2.9,1.3,2.6,56.6,,16.5
156,堡林,2019-03-29,12.2,5.9,20,,2.6,1.1,-1.3,43.3,,16.2
156,堡林,2019-03-30,7.5,4,13,1.4,5.7,2,1.4,66.6,,11.4
156,堡林,2019-03-31,5.9,3.4,9.7,,4.4,2.4,-7.8,38.5,,10.4
156,堡林,2019-04-01,7.5,2.3,12.8,,4.6,1.7,-3.2,49.8,,12.1
156,堡林,2019-04-02,8.2,3.3,14.3,,4.2,1.6,-6.6,41.1,,13.2
156,堡林,2019-04-03,7.7,2,15.4,,3.6,1.2,-5.2,43.5,,13.1
156,堡林,2019-04-04,9.6,.9,19.2,,4.6,1.6,-2.9,47.6,,14.5
156,堡林,2019-04-05,11.8,7.1,19.6,,3.7,1.8,1.8,54.3,,13.6
156,堡林,2019-04-06,13.4,4.1,22.3,,6.2,1.8,0,43.8,,16.6
156,堡林,2019-04-07,12.6,11.5,14.5,8.9,2.8,.8,11.8,95.3,,11.2
156,堡林,2019-04-08,13.6,7.6,20.4,,3.1,1.1,1.5,54.3,,15.7
156,堡林,2019-04-09,10.7,7.5,17.2,36.2,7.6,2.6,4.9,71.8,,10.3
156,堡林,2019-04-10,7.9,6.2,10,2.5,6.9,2,6.7,92.8,,9.1
156,堡林,2019-04-11,10.1,5.5,15.3,,2.8,1.2,3.7,68.4,,11.2
156,堡林,2019-04-12,11.5,5.6,18.1,,4.2,1.3,.5,53.3,,13.6
156,堡林,2019-04-13,12.4,6.1,19.8,,5.3,1.4,-.2,45.1,,14.9
156,堡林,2019-04-14,10.9,7.5,14.6,.5,4,1.3,5.1,68.6,,11.3
156,堡林,2019-04-15,11.9,4.4,20.7,,3.1,1.1,-2.1,42.8,,15.4
156,堡林,2019-04-16,15.2,6,23.9,,3.9,1.2,-2.1,35,,15.7
156,堡林,2019-04-17,15.7,12.4,20.9,,4.3,1.6,7.9,61.3,,15.3
156,堡林,2019-04-18,16.3,9.4,23.5,,5.1,1.9,9.3,67.6,,21.1
156,堡林,2019-04-19,15.9,14,21.1,,4.2,2.2,11.9,78.4,,17.3
156,堡林,2019-04-20,17.1,11.6,24.6,,3.1,1.2,10.6,67.5,,23.7
156,堡林,2019-04-21,17.8,12.4,23.2,,2.7,1,11.7,69.6,,23
156,堡林,2019-04-22,20.3,13.4,27.9,,5,1.6,12.6,63.8,,25.2
156,堡林,2019-04-23,17.1,15.8,19.7,1.4,4.8,1.4,14,82.5,,17.1
156,堡林,2019-04-24,18,16.1,20.9,,2.8,1.1,16.7,92.6,,18.1
156,堡林,2019-04-25,14.8,11.3,19,3.6,4.5,1.6,14.1,96.4,,15.6
156,堡林,2019-04-26,9.5,8.1,11.3,.4,2.4,1.1,8,90.9,,10.8
156,堡林,2019-04-27,13,7.3,19.9,,8,2,6.4,69,,18.1
156,堡林,2019-04-28,13.4,10.1,20,1.8,3.8,1.3,6,64,,15.2
156,堡林,2019-04-29,12,10.5,13.3,29.1,5.4,2.2,10.2,90.4,,12.3
156,堡林,2019-04-30,15,11.5,20.4,.3,3.2,1.3,13.7,92.4,,17.5
156,堡林,2019-05-01,14.4,10.2,21.5,,3.2,1.2,9.5,75.5,,16.9
156,堡林,2019-05-02,15.4,8.1,24.1,,2.9,1.4,4.9,56,,19.4
156,堡林,2019-05-03,18,8.5,28.9,,4,1,3.6,45.8,,21.5
156,堡林,2019-05-04,19.6,10.7,28.2,,3.3,.9,5.2,43.9,,22.2
156,堡林,2019-05-05,19.6,12.4,28.3,,5.6,1.6,6.2,46.3,,24.4
156,堡林,2019-05-06,14,9.6,20,,3.3,1.8,2.3,49.4,,20.2
156,堡林,2019-05-07,14.5,6.8,22,,4.3,1.3,-2.1,36.3,,20.2
156,堡林,2019-05-08,15.3,7.4,22.3,,2.7,.9,-1.6,36.9,,18.2
156,堡林,2019-05-09,17.3,10.8,25.3,,3,1.2,-.3,32.3,,22.5
156,堡林,2019-05-10,18.6,10.3,27.9,,2.9,1.3,1.9,34.9,,23.5
156,堡林,2019-05-11,19.6,11.8,28.2,,2.9,1.1,5.6,41.3,,24.8
156,堡林,2019-05-12,21.1,14.5,29.2,,5.2,1.4,7.7,44.5,,26.2
156,堡林,2019-05-13,20.4,13.8,27.9,,4.9,1.3,9.4,51.9,,27.1
156,堡林,2019-05-14,22.3,16.2,29,0,3.5,1.1,14.8,64.8,,29.9
156,堡林,2019-05-15,23.2,17.3,30.3,,5.5,1.6,14.3,60.4,,29.4
156,堡林,2019-05-16,23.3,17.6,30.7,,5.2,1.7,11.6,51,,29.5
156,堡林,2019-05-17,21.2,16.7,28.5,9.2,5.3,1.8,14.1,67.8,,25.5
156,堡林,2019-05-18,18.7,15.9,20.5,40.1,7.2,4,16.8,89.4,,18
156,堡林,2019-05-19,20.9,19.4,22.7,0,4.3,2.1,18.5,87,,19.7
156,堡林,2019-05-20,16.3,12.5,20.9,1.6,5.4,2,8.7,64.4,,19.3
156,堡林,2019-05-21,17.1,9.5,24.7,,6.5,1.6,6.7,55,,20.9
156,堡林,2019-05-22,20.2,12.4,28.5,,4.9,2.3,9.8,53.6,,24.4
156,堡林,2019-05-23,22.2,15.2,30.5,,4.9,1.7,13.7,62.4,,27.3
156,堡林,2019-05-24,23.6,17,29.9,,6.2,2.4,13.7,57,,27.8
156,堡林,2019-05-25,23,17.3,29.8,,3.6,1,14.4,61.5,,26.8
156,堡林,2019-05-26,22.6,18.3,28.7,.3,6.8,2.6,14.5,64.1,,26.9
156,堡林,2019-05-27,17.7,13.5,20.3,25.6,7.1,3.2,17.4,98,,18.9
156,堡林,2019-05-28,17.3,12,23,,6.2,1.3,7.9,59.1,,18.8
156,堡林,2019-05-29,19.8,11.8,27.6,,3.6,1.2,11.5,63,,22.6
156,堡林,2019-05-30,20.4,14.5,28.1,0,3.8,1.3,10.1,57.9,,23
156,堡林,2019-05-31,17.7,13.2,24.4,2,5.5,1.7,13,76.4,,21.8
156,堡林,2019-06-01,19.6,13.5,27,,4.3,1.1,12.7,68,,24
156,堡林,2019-06-02,21.8,15.2,28.8,,2.7,1,11.8,57.6,,27.3
156,堡林,2019-06-03,23.1,15.4,31,,5.3,1.2,11.6,52.1,,28.5
156,堡林,2019-06-04,23.9,17.6,31.7,,4.3,1.1,14.7,59,,29.9
156,堡林,2019-06-05,24.3,18.2,31.3,,3,1.1,16.7,65.9,,31
156,堡林,2019-06-06,21.8,17,27.4,27.2,5.6,2.1,18.9,85.3,,25.3
156,堡林,2019-06-07,19.3,17.7,20.8,5.5,5.3,1.5,18.8,97.3,,20.8
156,堡林,2019-06-08,20.8,17.9,25,,3.9,1,18.1,85.9,,23.1
156,堡林,2019-06-09,21.4,17.7,27.5,,4.6,1.6,17.3,79.5,,24
156,堡林,2019-06-10,19.1,16.7,22.7,11.8,3.7,1.6,16.6,86.4,,21.3
156,堡林,2019-06-11,18.4,15.7,22.8,.9,2.1,.8,16.4,89.3,,20.4
156,堡林,2019-06-12,20.3,15.4,26.7,,3.8,1.2,16.1,80,,22.9
156,堡林,2019-06-13,21.8,16.8,28,,4.2,1.3,16.6,74.9,,25.6
156,堡林,2019-06-14,19.9,17.9,23,3.3,2.1,.7,17.2,85.3,,20.7
156,堡林,2019-06-15,20.4,16.7,25.4,,3.5,1.4,16.1,78.3,,24.8
156,堡林,2019-06-16,20.7,16.1,26.6,,3.5,1.5,16.5,78.9,,25.2
156,堡林,2019-06-17,22,17.3,28,,3.6,1.4,16.8,74.6,,28.1
156,堡林,2019-06-18,22.3,19.2,26.9,,2.8,1.3,17.6,75.5,,27.5
156,堡林,2019-06-19,23.5,19.9,28.8,,4.1,1.4,18.8,76.8,,30.8
156,堡林,2019-06-20,23.5,18.5,29.6,,3.6,1.3,18.5,75.1,,29
156,堡林,2019-06-21,23.7,19,29.8,,3.7,1.2,18.6,75,,32
156,堡林,2019-06-22,22.1,18.6,28.2,.8,4.3,1.3,19.1,84.4,,27.7
156,堡林,2019-06-23,22.8,19.9,29.4,0,5.2,1.7,18.5,80,,30.5
156,堡林,2019-06-24,23.7,19.1,30.1,,3.9,1.6,18.3,74.8,,31.6
156,堡林,2019-06-25,24.8,19,31,,4.4,1.7,18.4,70.4,,28.1
156,堡林,2019-06-26,20.8,17.6,23.4,24.8,5.8,1.6,19.7,93.9,,22.6
156,堡林,2019-06-27,24.5,21.5,29.9,.7,3.5,1.3,22.2,88,,27.5
156,堡林,2019-06-28,24.3,20.6,29.5,,4.3,1.5,20.5,81.3,,28.3
156,堡林,2019-06-29,21.8,20.5,23.3,83,2.8,.9,21.4,97.9,,23.3
156,堡林,2019-06-30,23.8,20.5,28.5,,2.4,1.1,21.6,88.5,,26.6
156,堡林,2019-07-01,22.6,21.4,25.9,10.9,3.6,1,21.8,96.1,,25.5
156,堡林,2019-07-02,23.9,20.6,29.6,1.1,2.5,.9,19.4,78,,27.6
156,堡林,2019-07-03,23.3,19.1,29,,3,1.3,19.1,79.3,,25.8
156,堡林,2019-07-04,25.2,20.2,31.3,,2.6,1.1,19.8,75,,28.4
156,堡林,2019-07-05,26.5,21.6,32.1,,2.5,.8,19.2,67.3,,29.3
156,堡林,2019-07-06,26.9,21.6,32.8,,4.1,1.4,18.8,64.6,,32.4
156,堡林,2019-07-07,23.9,20.7,29.9,.4,5.3,2,18.3,72.6,,28.7
156,堡林,2019-07-08,23.4,20.2,28.8,0,4.5,2,18.4,75.6,,28.6
156,堡林,2019-07-09,23.9,20.3,28.1,0,3.5,1.5,19.2,76.3,,29.8
156,堡林,2019-07-10,20.9,20,23.8,38.8,6.3,3.1,19.6,92.8,,22.6
156,堡林,2019-07-11,23.3,21.2,25.1,0,3.7,1.4,19.6,80.4,,24.2
156,堡林,2019-07-12,24.4,20.7,28.6,,2.7,.9,19.2,73.9,,26.9
156,堡林,2019-07-13,23.6,21.1,27.9,0,2.5,.8,20.2,82.8,,25.3
156,堡林,2019-07-14,25.1,21.2,30.4,,2.9,1,21.2,80.4,,29.7
156,堡林,2019-07-15,25.2,21.5,29.5,0,3.8,1.5,21.4,80.9,,30.8
156,堡林,2019-07-16,24.6,21.2,29.8,18.5,3.1,1.1,21.4,83.9,,31.6
156,堡林,2019-07-17,25.3,21.4,30.4,5.4,4,1.5,20.6,77.4,,28.9
156,堡林,2019-07-18,23.6,20.4,26.6,26,4.2,1.5,22.3,92.8,,25.5
156,堡林,2019-07-19,24.8,22.7,27.3,4,3.7,1.6,23.7,93.9,,25.3
156,堡林,2019-07-20,24.2,22.4,26.5,36.6,7.6,3.4,23.6,96.6,,25
156,堡林,2019-07-21,24.7,22.4,27.6,13,5.4,3,24.1,96.9,,25.2
156,堡林,2019-07-22,27,23.5,31.8,0,4.6,1.4,25.2,90.9,,29.6
156,堡林,2019-07-23,27.7,25.2,31.4,,5.5,2.3,24.7,84.4,,30.3
156,堡林,2019-07-24,26.9,25.7,28.6,0,3.9,2.3,25,89.5,,27.3
156,堡林,2019-07-25,27.6,25.9,31.1,0,4,2.3,26.3,92.5,,29.7
156,堡林,2019-07-26,27.4,25.7,30.1,12.1,4.3,2.3,25.6,90.8,,29.6
156,堡林,2019-07-27,26.4,25,28.5,61.6,3.5,1.5,25.9,97.5,,27.6
156,堡林,2019-07-28,27.1,24.7,30.3,13.8,4.8,2.4,25.9,93.3,,28.1
156,堡林,2019-07-29,28.3,25.1,31.8,,6.4,2.8,24.4,80.6,,31
156,堡林,2019-07-30,28.4,25.9,32.4,0,7.4,3.5,25.6,85.1,,31
156,堡林,2019-07-31,29,26.4,32.9,,6.3,2.9,25.6,83,,33.4
156,堡林,2019-08-01,29.2,24.9,34.6,,4,1.4,25.1,80.3,,36.7
156,堡林,2019-08-02,29.3,25.5,34.7,,3.7,1,24.8,78.4,,36.5
156,堡林,2019-08-03,29.6,25.3,34.7,,4.9,1.4,24.5,75.6,,35.9
156,堡林,2019-08-04,29.7,25.2,34.8,,4,1.2,24.3,74.8,,37.4
156,堡林,2019-08-05,29.3,25.6,34.7,,2.4,.9,24.9,78.5,,34.2
156,堡林,2019-08-06,29,25.9,33,,5.3,2.2,23.8,75.1,,35.4
156,堡林,2019-08-07,29,25.3,33.9,,4.8,2,24.9,80,,36.9
156,堡林,2019-08-08,28.6,26.1,33.1,2.9,4.2,1.3,25.2,82.4,,33.2
156,堡林,2019-08-09,29.3,24.7,33.6,,2.7,1.1,24.4,76.9,,32.9
156,堡林,2019-08-10,29.7,25.8,34.2,,3.7,1.9,21.8,64.5,,36.6
156,堡林,2019-08-11,28.1,25.7,31,14.2,5.4,3.1,23.6,77.6,,31.9
156,堡林,2019-08-12,27.9,26.1,30.4,1.7,6,3.5,26.3,91,,29
156,堡林,2019-08-13,29.5,25.6,33.8,,3.6,1.2,25.4,80,,31.9
156,堡林,2019-08-14,29.9,26,34.7,0,4.5,2.1,25.3,77.5,,35.2
156,堡林,2019-08-15,27.6,25.2,31.9,0,4,1.5,24.5,84,,32.8
156,堡林,2019-08-16,26.5,24.4,29.3,0,4.5,1.8,24,86.9,,30.6
156,堡林,2019-08-17,26.9,23.4,31.2,.4,5.4,2.4,23.5,83.4,,35.6
156,堡林,2019-08-18,26.2,22.9,31.9,,2.4,1,19.9,71.1,,32.9
156,堡林,2019-08-19,26.6,20.8,32.2,,2.6,1.2,19.6,68.3,,33.7
156,堡林,2019-08-20,27.2,22.7,31.6,0,3.1,1.3,22,74.9,,31
156,堡林,2019-08-21,26.7,24.9,29.9,11.7,3.8,.9,24.6,89.1,,30.7
156,堡林,2019-08-22,26.7,24.5,31.6,24.2,3,1.1,23.7,85,,29.8
156,堡林,2019-08-23,25.6,23.1,29.5,0,2.4,.8,21.5,79.8,,27.3
156,堡林,2019-08-24,24,20.3,28.9,,2.6,.8,20.1,80.8,,26.3
156,堡林,2019-08-25,23.4,21.3,27.1,0,2.5,.8,20.3,84.4,,26.1
156,堡林,2019-08-26,25.2,20.2,30.4,,5,1.9,19.4,72.3,,29.5
156,堡林,2019-08-27,22.9,21.2,24.8,8.5,4,1.1,22.3,96.9,,25.6
156,堡林,2019-08-28,24.1,22.4,27.1,1.2,2.7,.9,22.5,91.8,,26
156,堡林,2019-08-29,23,21.8,24.9,0,4.4,1.6,21.7,92.8,,25.1
156,堡林,2019-08-30,23.6,20.5,28.1,,3,1.2,19.2,78.1,,26.2
156,堡林,2019-08-31,23.4,20.1,29.1,0,3.1,1,19.2,79,,26.8
156,堡林,2019-09-01,22.1,19.7,25,.4,2.7,.8,19.9,88.3,,24.1
156,堡林,2019-09-02,21.1,20.2,22.4,5.5,3.8,1.7,20,94.3,,22.7
156,堡林,2019-09-03,22.6,20.9,25.4,10.6,4.1,1,22.2,98.1,,24.2
156,堡林,2019-09-04,24.4,22,27.1,6.1,4.5,1.1,23.6,95.5,,25.1
156,堡林,2019-09-05,24.9,22.5,30.5,.4,5.4,1.3,23.2,91.1,,27.3
156,堡林,2019-09-06,25.6,22.1,30.3,1.4,5.3,2,23.8,90.6,,26.8
156,堡林,2019-09-07,24.7,23.2,26.2,25.9,10.8,5.2,23.8,95.1,,24.8
156,堡林,2019-09-08,24.7,22.5,27.2,1.4,1.7,.3,23.7,94.4,,27.1
156,堡林,2019-09-09,24.6,23,28.9,11.9,4.8,2.1,24.1,97.1,,26.4
156,堡林,2019-09-10,26.7,24,30.5,,5.6,2.9,23.2,82.3,,28.5
156,堡林,2019-09-11,26.7,23.7,30.6,.3,2.5,1.1,24,86.3,,27.7
156,堡林,2019-09-12,22.3,20.2,25.1,0,3.8,2.5,21,92.5,,24.2
156,堡林,2019-09-13,23.7,19.5,29.6,,3.3,1.6,18.5,74.8,,27.7
156,堡林,2019-09-14,24,19.9,29.4,,2.2,.9,20.2,80.9,,28.5
156,堡林,2019-09-15,24.9,21.4,30.1,,2.4,1.1,21.7,83.8,,28.4
156,堡林,2019-09-16,24.6,21.6,29.5,,3.3,1.2,20,77.6,,27.6
156,堡林,2019-09-17,23.7,19,29.5,,3.9,1.2,13.1,56.9,,27.8
156,堡林,2019-09-18,22.2,17.3,28.3,,4.5,1.3,13.7,60.5,,27.9
156,堡林,2019-09-19,20.6,14.1,27.1,,2.9,1.3,11.5,57.1,,26.1
156,堡林,2019-09-20,20.6,17.1,25.2,,5.2,2,14.2,68,,25.3
156,堡林,2019-09-21,17.9,16.6,19.5,49.7,6.8,2.7,16.5,92.1,,19.4
156,堡林,2019-09-22,18.4,16.7,20.6,52.2,12.5,6.5,15.7,85.5,,17.9
156,堡林,2019-09-23,19.4,16,24.9,0,3.4,1.3,14,73.5,,22.1
156,堡林,2019-09-24,19.3,13.7,25.1,,4,.9,13.9,73.8,,21
156,堡林,2019-09-25,19.7,14.7,25.9,,2.3,.7,13.6,71.4,,21.2
156,堡林,2019-09-26,21.8,16.7,27.1,,3.6,1.4,17.3,76.6,,23
156,堡林,2019-09-27,23.3,18.3,28.7,,2.9,1,19.5,80.5,,24.2
156,堡林,2019-09-28,24.2,21,29.2,0,2,.7,21.8,87.8,,26.3
156,堡林,2019-09-29,24.4,21.2,29.2,,2.1,.6,20.1,78.8,,28.7
156,堡林,2019-09-30,23.5,19,28.8,,3.2,.8,20.4,83.3,,26.2
156,堡林,2019-10-01,20.7,19.4,22.9,52.3,4.3,1,20.4,98.3,,21.4
156,堡林,2019-10-02,20.8,18.9,22.9,88.1,7.4,3.4,20.5,98.5,,21.1
156,堡林,2019-10-03,22.1,19.7,27.1,.9,4.5,1.7,20.1,89.4,,24.5
156,堡林,2019-10-04,22.4,19.5,28.4,.2,3.3,1.2,19.8,86.9,,25
156,堡林,2019-10-05,18.4,15,20.3,,2.5,1.2,16.1,87.1,,20.3
156,堡林,2019-10-06,19.2,15.5,23.9,,3.1,.9,14.5,75.9,,21.7
156,堡林,2019-10-07,16.6,15.9,18.3,6.9,3.5,1.1,15.4,93.1,,18.4
156,堡林,2019-10-08,17,11.9,22.4,.5,3,1.1,11.1,70.8,,19.5
156,堡林,2019-10-09,15.2,9.3,22.1,,4,1.6,4.7,52.9,,16.4
156,堡林,2019-10-10,16.9,10.1,23.6,,1.7,.6,7.6,60,,18.8
156,堡林,2019-10-11,19.6,13.6,26.7,,2.8,1.1,11.8,63.1,,21.1
156,堡林,2019-10-12,20,15.8,25.9,,5.3,2.6,9.8,54,,20.2
156,堡林,2019-10-13,18.2,13,24.6,,4,1.4,8.3,54.5,,19.6
156,堡林,2019-10-14,15.2,11.3,21.6,,3.6,1.1,9.9,72.1,,17.8
156,堡林,2019-10-15,14,9.5,19.5,,3,.9,8,68.6,,16.4
156,堡林,2019-10-16,15.5,11.2,21.6,,2.5,.7,10.5,75,,17.8
156,堡林,2019-10-17,15.6,12,19.7,0,3.6,.7,10.8,75.4,,16.5
156,堡林,2019-10-18,17.1,14,20.4,1,4.5,2.2,12.5,75.4,,18.6
156,堡林,2019-10-19,17.3,13.7,23.3,0,2.3,.6,13.7,82.3,,20.3
156,堡林,2019-10-20,17.2,12.4,23.9,,2.7,.7,12.1,75.4,,19.4
156,堡林,2019-10-21,17.5,11.6,24,,3,.7,10.4,67.1,,18.6
156,堡林,2019-10-22,18,12.1,24.3,,2.4,.6,11.7,69.3,,20.7
156,堡林,2019-10-23,17.7,15.6,20,,3.8,1.5,13,74.9,,19.4
156,堡林,2019-10-24,18.3,14,24.1,,3.7,1.6,12.8,72.1,,19.9
156,堡林,2019-10-25,17.7,13.4,23.3,0,2.8,.8,12.8,75.6,,19.1
156,堡林,2019-10-26,13.5,11.7,16.8,0,3.9,1.6,6.3,62.5,,16.8
156,堡林,2019-10-27,12.3,8.3,17.8,,2.7,1.2,5.3,65.4,,13.7
156,堡林,2019-10-28,13.1,6.7,19.3,,2.9,1.2,7.1,69.9,,15.3
156,堡林,2019-10-29,14.9,12,19.6,0,4.7,1.1,8,66.6,,18.6
156,堡林,2019-10-30,12.9,8.9,19.3,,2.3,.7,6.9,69.5,,15
156,堡林,2019-10-31,13.8,7.2,21,,2.4,.6,8.9,74.9,,15.4
156,堡林,2019-11-01,15.6,10.9,22.9,,2.6,.7,9.7,71.1,,17.2
156,堡林,2019-11-02,15.7,10.1,22,,2.9,.4,10.1,71.6,,16.7
156,堡林,2019-11-03,15.5,12.5,21.6,,2,.5,9,69.6,,17
156,堡林,2019-11-04,14.7,9.8,20.9,,2.5,.6,9.5,73.1,,16.8
156,堡林,2019-11-05,13.9,10.1,20.5,,2.6,.7,9.6,78.3,,15.5
156,堡林,2019-11-06,12.8,6.9,20.2,,2.7,.8,7.3,72.6,,14
156,堡林,2019-11-07,12.2,8.3,17.9,,3,.9,7,72.5,,14.1
156,堡林,2019-11-08,9.5,4.9,15.3,,2.8,1.4,-1.6,49.4,,10.7
156,堡林,2019-11-09,10.6,3.8,18.6,,2.5,.8,-.2,51.1,,11
156,堡林,2019-11-10,10.8,6.1,17,9.8,7.7,1.5,6.6,76.9,,12.1
156,堡林,2019-11-11,13,9.9,17.8,1,3.2,1.2,9.2,79.8,,12.6
156,堡林,2019-11-12,12.2,7.6,18.4,,2.7,.9,5.4,67.4,,11.5
156,堡林,2019-11-13,10.3,6,13.9,3.5,4,1.2,6.9,80.6,,10.6
156,堡林,2019-11-14,5.9,2.9,10.1,.1,5.4,2.5,-3.5,52.3,,7.5
156,堡林,2019-11-15,9.1,.8,17.3,,4.6,1.4,3,66.8,,8.4
